268,並ぶ,ならぶ,"to line up, to stand in a line"
269,夏休み,なつやすみ,"summer vacation, summer holiday"
270,毎日,まいにち,every day
271,,ペット,pet
272,建物,たてもの,building
273,,～がる,feel
274,締める,しめる,"to tie, to fasten"
275,八日,ようか,"eight days, the eighth (day of the month)"
276,,たくさん,"many, a lot, much"
277,隣,となり,"next to, next door to"
278,,お～,honourable ～ (honorific)
279,病気,びょうき,"illness, disease, sickness"
280,,～さん,Mr or Mrs
281,開く,あく,"to open, to become open"
282,お弁当,おべんとう,boxed lunch
283,傘,かさ,umbrella
284,呼ぶ,よぶ,"to call out, to invite"
285,,すぐ・に,"immediately, instantly"
286,箱,はこ,box
287,登る,のぼる,to climb
288,七日,なのか,"seven days, the seventh day (of the month)"
289,,ワイシャツ,"shirt (lit: white shirt), business shirt"
290,鉛筆,えんぴつ,pencil
291,交番,こうばん,police box
292,寝る,ねる,"to go to bed, to sleep"
293,熱い,あつい,hot (thing)
294,六,ろく,six
295,誰か,だれか,"someone, somebody"
296,消す,けす,"to erase, to delete, to turn off power"
297,側,～がわ,～ side
298,,～すぎ,"to exceed, ～ too much"
299,外,そと,"outside, exterior"
300,中,なか,"inside, middle, among"
301,,かける,to put on (eg glasses)
302,悪い,わるい,"bad, inferior"
303,横,よこ,"beside, side, width"
304,明るい,あかるい,"bright, cheerful"
305,借りる,かりる,"to borrow, to have a loan"
306,一月,ひとつき,one month
307,花,はな,flower
308,問題,もんだい,"problem, question"
309,,いちばん,"best, first, number one"
310,,ホテル,hotel
311,来る,くる,to come
312,,いろいろ,various
313,交差点,こうさてん,intersection
314,,たいへん,very
315,暇,ひま,"free time, leisure"
316,,もしもし,hello (on phone)
317,差す,さす,"to raise (stretch out) hands, to raise (eg umbrella)"
318,奥さん,おくさん,(hon) wife
319,,ペン,pen
320,男,おとこ,man
321,十,じゅう,ten
322,,～だけ,"only ～, just ～"
323,二十歳,はたち,"20 years old, 20th year"
324,言葉,ことば,word
325,置く,おく,"to put, to place"
326,両親,りょうしん,"parents, both parents"
327,押す,おす,"to push, to press"
328,嫌,いや,"disagreeable, no"
329,,ページ,page
330,人,ひと,"man, person"
331,持つ,もつ,"(1) to hold, to carry, (2) to possess"
332,黄色い,きいろい,yellow
333,教室,きょうしつ,classroom
334,本,ほん,book
335,,～など,et cetera
336,皆さん,みなさん,everyone
337,方,かた,person
338,着る,きる,"to wear, to put on (from shoulders down)"
339,午後,ごご,"afternoon, P.M."
340,一,いち,one
341,道,みち,"road, street"
342,番号,ばんごう,number
343,,あれ,"that, that thing"
344,自分,じぶん,"myself, oneself"
345,高い,たかい,expensive
346,安い,やすい,"cheap, inexpensive"
347,初め/始め,はじめ,"beginning, start"
348,,フォーク,fork
349,～台,～だい,counter for vehicles/machines
350,四,し,four
351,海,うみ,"sea, beach"
352,池,いけ,pond
353,歌,うた,song
354,お菓子,おかし,"confections, sweets, candy"
355,百,ひゃく,"100, hundred"
356,卵,たまご,egg(s)
357,高い,たかい,"tall, high"
358,豚肉,ぶたにく,pork
359,起きる,おきる,"to get up, to rise"
360,映画館,えいがかん,"movie theatre (theater), cinema"
361,,シャツ,"shirt, singlet"
362,夕方,ゆうがた,evening
363,夕飯,ゆうはん,dinner
364,授業,じゅぎょう,"lesson, class work"
365,玄関,げんかん,"entrance-way, entry hall"
366,一日,いちにち,1 day (duration)
367,誰,だれ,who
368,医者,いしゃ,doctor (medical)
369,切手,きって,stamp (eg. postage)
370,茶色,ちゃいろ,brown
371,西,にし,west
372,,～くらい/ぐらい,approximate (quantity)
373,男の子,おとこのこ,boy
374,住む,すむ,"to reside, to live in"
375,荷物,にもつ,luggage
376,靴,くつ,"shoes, footwear"
377,～本,～ほん,counter for long cylindrical things
378,牛肉,ぎゅうにく,beef
379,,あの,that over there
380,水曜日,すいようび,Wednesday
381,春,はる,spring
382,甘い,あまい,"generous, sweet"
383,冷蔵庫,れいぞうこ,refrigerator
384,,できる,to be able to
385,丸い/円い,まるい,"round, circular"
386,北,きた,north
387,名前,なまえ,name
388,走る,はしる,to run
389,お風呂,おふろ,bath
390,厚い,あつい,"kind, warm(hearted), thick, deep"
391,,レコード,record
392,,いかが,"how, in what way"
393,出る,でる,"to appear, to leave"
394,食べ物,たべもの,food
395,姉,あね,(hum) older sister
396,財布,さいふ,wallet
397,,あさって,day after tomorrow
398,,いくら,"how much?, how many?"
399,耳,みみ,ear
400,好き,すき,"liking, fondness, love"
401,郵便局,ゆうびんきょく,post office
402,入れる,いれる,to put in
403,貸す,かす,to lend
404,昼,ひる,"noon, daytime"
405,～個,～こ,counter for small items
406,,さあ,"come now, well"
407,教える,おしえる,"to teach, to inform"
408,飛ぶ,とぶ,"to fly, to hop"
409,広い,ひろい,"spacious, wide"
410,平仮名,ひらがな,hiragana
411,外国,がいこく,foreign country
412,新聞,しんぶん,newspaper
413,,りっぱ,"splendid, fine"
414,寒い,さむい,cold (e.g. weather)
415,言う,いう,to say
416,食堂,しょくどう,"cafeteria, dining hall"
417,作る,つくる,"to make, to create"
418,木曜日,もくようび,Thursday
419,,その,that
420,暖かい,あたたかい,"warm, mild"
421,,はく,"to wear, to put on (trousers)"
422,字引,じびき,dictionary
423,涼しい,すずしい,"cool, refreshing"
424,,ノート,"notebook, exercise book"
425,雪,ゆき,snow
426,前,まえ,"before, in front"
427,,やる,to do
428,,おととい,day before yesterday
429,,たばこ,"tobacco, cigarettes"
430,猫,ねこ,cat
431,口,くち,"mouth, orifice, opening"
432,,パーティー,party
433,村,むら,village
434,昨日,きのう,yesterday
435,十日,とおか,"ten days, the tenth (day of the month)"
436,止まる,とまる,to come to a halt
437,,うち,house (one's own)
438,～度,～ど,counter for occurrences
439,少ない,すくない,"a few, scarce"
440,来週,らいしゅう,next week
441,,バス,bus
442,散歩,さんぽ（する）,"walk, stroll"
443,家族,かぞく,family
444,,どう,"how, in what way"
445,五日,いつか,"five days, the fifth day (of the month)"
446,,シャワー,shower
447,物,もの,"thing, object"
448,次,つぎ,next
449,,ある [存在],to be
450,,ラジカセ,radio cassette player
451,階段,かいだん,stairs
452,誕生日,たんじょうび,birthday
453,料理,りょうり,"cooking, cuisine"
454,～時間,～じかん,～hours
455,封筒,ふうとう,envelope
456,洗濯,せんたく,"washing, laundry"
457,,こんな,"such, like this"
458,辺,へん,"area, vicinity"
459,見せる,みせる,"to show, to display"
460,暑い,あつい,"hot, warm"
461,薄い,うすい,"thin, weak"
462,使う,つかう,to use
463,戸,と,door (Japanese style)
464,,ボタン,button
465,,ストーブ,heater (lit: stove)
466,大きな,おおきな,big
467,お酒,おさけ,"alcohol, sake (rice wine)"
468,,する,"to do, to try"
469,渡す,わたす,"to pass over, to hand over"
470,,どうして,"why?, for what reason"
471,,ある [所有],to have
472,今月,こんげつ,this month
473,眼鏡,めがね,"spectacles, glasses"
474,部屋,へや,room
475,小さい,ちいさい,"small, little"
476,病院,びょういん,hospital
